Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
VAUXHALL ASTRA Mk III (F) Convertible (T92) 1.6 i,X 16 SZ,52 kW / 71 HP,1598 ccm,4 cylinders,8 valves,Petrol,1993/03 - 1996/08,VAUXHALL
VAUXHALL ASTRA Mk III (F) Convertible (T92) 1.6 i,X 16 SZR,55 kW / 75 HP,1598 ccm,4 cylinders,8 valves,Petrol,1996/01 - 2001/03,VAUXHALL
VAUXHALL ASTRA Mk III (F) Convertible (T92) 1.8,C 18 XE,92 kW / 125 HP,1799 ccm,4 cylinders,16 valves,Petrol,1994/09 - 1996/08,VAUXHALL
VAUXHALL ASTRA Mk III (F) Convertible (T92) 1.8 16V,"C 18 XEL, X 18 XE",85 kW / 116 HP,1799 ccm,4 cylinders,16 valves,Petrol,1994/11 - 2001/03,VAUXHALL
VAUXHALL ASTRA Mk III (F) Convertible (T92) 1.8 i (F08),C 18 NZ,66 kW / 90 HP,1796 ccm,4 cylinders,8 valves,Petrol,1991/09 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Convertible (T92) 2.0 i,C 20 NE,85 kW / 115 HP,1998 ccm,4 cylinders,8 valves,Petrol,1993/03 - 1994/10,VAUXHALL
VAUXHALL ASTRA Mk III (F) Convertible (T92) 2.0 i 16V,X 20 XEV,100 kW / 136 HP,1998 ccm,4 cylinders,16 valves,Petrol,1994/01 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.4 i,"C 14 NZ, X 14 NZ",44 kW / 60 HP,1389 ccm,4 cylinders,8 valves,Petrol,1991/09 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.4 i,C 14 SE,60 kW / 82 HP,1389 ccm,4 cylinders,8 valves,Petrol,1991/03 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.4 i 16V,X 14 XE,66 kW / 90 HP,1389 ccm,4 cylinders,16 valves,Petrol,1996/02 - 1998/01,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.6 i,"C 16 NZ, E 16 NZ, X 16 SZR",55 kW / 75 HP,1598 ccm,4 cylinders,8 valves,Petrol,1991/09 - 1998/12,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.6 i,X 16 SZ,52 kW / 71 HP,1598 ccm,4 cylinders,8 valves,Petrol,1994/07 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.6 i 16V,X 16 XEL,74 kW / 100 HP,1598 ccm,4 cylinders,16 valves,Petrol,1994/01 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.6 Si,C 16 SE,74 kW / 100 HP,1598 ccm,4 cylinders,8 valves,Petrol,1991/03 - 1994/12,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.7 D,17 D,42 kW / 57 HP,1699 ccm,4 cylinders,8 valves,Diesel,1991/12 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.7 D,17 DR,44 kW / 60 HP,1699 ccm,4 cylinders,8 valves,Diesel,1991/03 - 1994/12,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.7 TD,17 TD,60 kW / 82 HP,1686 ccm,4 cylinders,8 valves,Diesel,1991/12 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.7 TD,X 17 DTL,50 kW / 68 HP,1700 ccm,4 cylinders,8 valves,Diesel,1994/01 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.8 i 16V,C 18 XE,92 kW / 125 HP,1796 ccm,4 cylinders,16 valves,Petrol,1994/09 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 1.8 i 16V,C 18 XEL,85 kW / 115 HP,1796 ccm,4 cylinders,16 valves,Petrol,1994/09 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 2.0 i,C 20 NE,85 kW / 115 HP,1998 ccm,4 cylinders,8 valves,Petrol,1991/09 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Estate (T92) 2.0 i 16V,X 20 XEV,100 kW / 136 HP,1998 ccm,4 cylinders,16 valves,Petrol,1994/01 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Hatchback (T92) 1.4 i,"C 14 NZ, X 14 NZ",44 kW / 60 HP,1389 ccm,4 cylinders,8 valves,Petrol,1991/09 - 1998/02,VAUXHALL
VAUXHALL ASTRA Mk III (F) Hatchback (T92) 1.4 i,C 14 SE,60 kW / 82 HP,1389 ccm,4 cylinders,8 valves,Petrol,1992/03 - 1998/02,VAUXHALL
